"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","Quantity","QuantityToken","QtyUnit","NetWeight in KGM"
"S3","RWA","0572","Rwanda","CHN","China",2021,"Import",5,0.031,2,8,"Kg",2
"S3","RWA","0572","Rwanda","CHN","China",2022,"Gross Imp.",1,0.034,8.17,8,"Kg",8
"S3","RWA","0572","Rwanda","CHN","China",2022,"Import",5,0.034,8.17,8,"Kg",8
"S3","RWA","0572","Rwanda","DEU","Germany",2020,"Gross Imp.",1,0.221,30,8,"Kg",30
"S3","RWA","0572","Rwanda","DEU","Germany",2020,"Import",5,0.221,30,8,"Kg",30
"S3","RWA","0572","Rwanda","DEU","Germany",2021,"Gross Imp.",1,0.096,15,8,"Kg",15
"S3","RWA","0572","Rwanda","DEU","Germany",2021,"Import",5,0.096,15,8,"Kg",15
"S3","RWA","0572","Rwanda","DEU","Germany",2022,"Gross Imp.",1,0.102,24,8,"Kg",24
"S3","RWA","0572","Rwanda","DEU","Germany",2022,"Import",5,0.102,24,8,"Kg",24
"S3","RWA","0572","Rwanda","EGY","Egypt, Arab Rep.",2020,"Gross Imp.",1,8.107,5775,8,"Kg",5775
"S3","RWA","0572","Rwanda","EGY","Egypt, Arab Rep.",2020,"Import",5,8.107,5775,8,"Kg",5775
"S3","RWA","0572","Rwanda","EGY","Egypt, Arab Rep.",2021,"Gross Imp.",1,16.421,12055,8,"Kg",12055
"S3","RWA","0572","Rwanda","EGY","Egypt, Arab Rep.",2021,"Import",5,16.421,12055,8,"Kg",12055
"S3","RWA","0572","Rwanda","EGY","Egypt, Arab Rep.",2022,"Gross Imp.",1,7.742,4080,8,"Kg",4080
"S3","RWA","0572","Rwanda","EGY","Egypt, Arab Rep.",2022,"Import",5,7.742,4080,8,"Kg",4080
"S3","RWA","0572","Rwanda","FRA","France",2022,"Gross Imp.",1,0.026,10.2,8,"Kg",10
"S3","RWA","0572","Rwanda","FRA","France",2022,"Import",5,0.026,10.2,8,"Kg",10
"S3","RWA","0572","Rwanda","GBR","United Kingdom",2020,"Export",6,0.249,77,8,"Kg",77
"S3","RWA","0572","Rwanda","GBR","United Kingdom",2020,"Gross Exp.",2,0.249,77,8,"Kg",77
"S3","RWA","0572","Rwanda","HKG","Hong Kong, China",2020,"Gross Imp.",1,0.029,9,8,"Kg",9
"S3","RWA","0572","Rwanda","HKG","Hong Kong, China",2020,"Import",5,0.029,9,8,"Kg",9
"S3","RWA","0572","Rwanda","IND","India",2022,"Gross Imp.",1,0,5,8,"Kg",5
"S3","RWA","0572","Rwanda","IND","India",2022,"Import",5,0,5,8,"Kg",5
"S3","RWA","0572","Rwanda","KEN","Kenya",2020,"Gross Imp.",1,99.235,187220,8,"Kg",187220
"S3","RWA","0572","Rwanda","KEN","Kenya",2020,"Import",5,99.235,187220,8,"Kg",187220
"S3","RWA","0572","Rwanda","KEN","Kenya",2021,"Gross Imp.",1,225.748,450512,8,"Kg",450512
"S3","RWA","0572","Rwanda","KEN","Kenya",2021,"Import",5,225.748,450512,8,"Kg",450512
"S3","RWA","0572","Rwanda","KEN","Kenya",2022,"Gross Imp.",1,355.798,627900,8,"Kg",627900
"S3","RWA","0572","Rwanda","KEN","Kenya",2022,"Import",5,355.798,627900,8,"Kg",627900
"S3","RWA","0572","Rwanda","SSD","South Sudan",2022,"Gross Imp.",1,0.499,494,8,"Kg",494
"S3","RWA","0572","Rwanda","SSD","South Sudan",2022,"Import",5,0.499,494,8,"Kg",494
"S3","RWA","0572","Rwanda","TUR","Turkey",2020,"Gross Imp.",1,2.748,2600,8,"Kg",2600
"S3","RWA","0572","Rwanda","TUR","Turkey",2020,"Import",5,2.748,2600,8,"Kg",2600
"S3","RWA","0572","Rwanda","TUR","Turkey",2021,"Gross Imp.",1,6.114,1500,8,"Kg",1500
"S3","RWA","0572","Rwanda","TUR","Turkey",2021,"Import",5,6.114,1500,8,"Kg",1500
"S3","RWA","0572","Rwanda","TUR","Turkey",2022,"Gross Imp.",1,0.046,128,8,"Kg",128
"S3","RWA","0572","Rwanda","TUR","Turkey",2022,"Import",5,0.046,128,8,"Kg",128
"S3","RWA","0572","Rwanda","TZA","Tanzania",2020,"Gross Imp.",1,155.606,401815,8,"Kg",401815
"S3","RWA","0572","Rwanda","TZA","Tanzania",2020,"Import",5,155.606,401815,8,"Kg",401815
"S3","RWA","0572","Rwanda","TZA","Tanzania",2021,"Gross Imp.",1,157.008,430255,8,"Kg",430255
"S3","RWA","0572","Rwanda","TZA","Tanzania",2021,"Import",5,157.008,430255,8,"Kg",430255
"S3","RWA","0572","Rwanda","TZA","Tanzania",2022,"Gross Imp.",1,45.88,146190,8,"Kg",146190
"S3","RWA","0572","Rwanda","TZA","Tanzania",2022,"Import",5,45.88,146190,8,"Kg",146190
"S3","RWA","0572","Rwanda","UGA","Uganda",2021,"Export",6,0.06,500,8,"Kg",500
"S3","RWA","0572","Rwanda","UGA","Uganda",2021,"Gross Exp.",2,0.06,500,8,"Kg",500
"S3","RWA","0572","Rwanda","UGA","Uganda",2022,"Gross Imp.",1,155.121,384692,8,"Kg",384692
"S3","RWA","0572","Rwanda","UGA","Uganda",2022,"Import",5,155.121,384692,8,"Kg",384692
"S3","RWA","0572","Rwanda","WLD"," World",2020,"Export",6,0.252,227,8,"Kg",227
"S3","RWA","0572","Rwanda","WLD"," World",2020,"Gross Exp.",2,0.252,227,8,"Kg",227
"S3","RWA","0572","Rwanda","WLD"," World",2020,"Gross Imp.",1,266.021,597564,8,"Kg",597564
"S3","RWA","0572","Rwanda","WLD"," World",2020,"Import",5,266.021,597564,8,"Kg",597564
"S3","RWA","0572","Rwanda","WLD"," World",2021,"Export",6,0.06,500,8,"Kg",500
"S3","RWA","0572","Rwanda","WLD"," World",2021,"Gross Exp.",2,0.487,1963,8,"Kg",1963
"S3","RWA","0572","Rwanda","WLD"," World",2021,"Gross Imp.",1,405.459,894359,8,"Kg",894359
"S3","RWA","0572","Rwanda","WLD"," World",2021,"Import",5,405.459,894359,8,"Kg",894359
"S3","RWA","0572","Rwanda","WLD"," World",2021,"Re-Export",3,0.427,1463,8,"Kg",1463
"S3","RWA","0572","Rwanda","WLD"," World",2022,"Export",6,0,0,8,"Kg",0
"S3","RWA","0572","Rwanda","WLD"," World",2022,"Gross Exp.",2,1.094,1920,8,"Kg",1920
"S3","RWA","0572","Rwanda","WLD"," World",2022,"Gross Imp.",1,568.915,1167101.37,8,"Kg",1167101
"S3","RWA","0572","Rwanda","WLD"," World",2022,"Import",5,568.915,1167101.37,8,"Kg",1167101
"S3","RWA","0572","Rwanda","WLD"," World",2022,"Re-Export",3,1.094,1920,8,"Kg",1920
"S3","RWA","0572","Rwanda","ZAF","South Africa",2022,"Gross Imp.",1,3.667,3570,8,"Kg",3570
"S3","RWA","0572","Rwanda","ZAF","South Africa",2022,"Import",5,3.667,3570,8,"Kg",3570
"S3","RWA","0572","Rwanda","ZAR","Congo, Dem. Rep.",2020,"Export",6,0.003,150,8,"Kg",150
"S3","RWA","0572","Rwanda","ZAR","Congo, Dem. Rep.",2020,"Gross Exp.",2,0.003,150,8,"Kg",150
"S3","RWA","0572","Rwanda","ZAR","Congo, Dem. Rep.",2021,"Export",6,0,0,8,"Kg",0
"S3","RWA","0572","Rwanda","ZAR","Congo, Dem. Rep.",2021,"Gross Exp.",2,0.427,1463,8,"Kg",1463
"S3","RWA","0572","Rwanda","ZAR","Congo, Dem. Rep.",2021,"Re-Export",3,0.427,1463,8,"Kg",1463
